Catalog Numb.,University,Collector,No. of spec.,YE,MO,DA,Country col.,countryCode,stateProvince,lat,lon,District,Locality col.,Elevation,geodeticDatum,coordinate Uncertainty,identifiedBy,typeStatus,kingdom,phylum,class,order,family,subfamily,genus,specificEpithet,infraspecificEpithet,Full name,taxonRank,Authorship
UNZA:166771,University of Zambia,Mukampola R,1,2008,8,30,Zambia,ZM,Southern,-15.7494711,27.071788,Mazabuka,Lochinvar National Park,1105,WGS84,526,Mukampola R,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,biflora,,Tessmannia biflora,Species,Ruiz & Pav.
UNZA:166789,University of Zambia,Mukampola R,1,2008,8,31,Zambia,ZM,Southern,-17.4164849,26.5979938,Distr. Kalomo,Lionkop Ranch,1499,WGS84,2210,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,tovarensis,,Tessmannia tovarensis,Species,Mez
UNZA:167060,University of Zambia,Bellcross G,1,1999,2,19,Zambia,ZM,Southern,-15.4813722,27.8643117,Mazabuka,East of Lochinvar NP,0,WGS84,3580,Bellcross Guida,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,bakeriana,,Brachystegia bakeriana,Species,(Carrière) Baker
UNZA:167113,University of Zambia,Ngwenyama T,1,2008,11,13,Zambia,ZM,Southern,-17.3603253,25.4096376,Livingstone,Zambezi Boat Club,916,WGS84,661,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Colophospermum,mopane,,Colophospermum mopane,Species,L.B. Sm.
UNZA:167163,University of Zambia,Franks B,1,2007,12,21,Zambia,ZM,Southern,-17.4100571,25.5962145,Livingstone,Mosi-oa-Tunya Game Reserve,944,WGS84,2412,Franks B,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,altus,,Isoberlinia altus,Species,Swallen
UNZA:167316,University of Zambia,Merrett L; Merrett M,1,1992,4,26,Zambia,ZM,Southern,-15.572077,27.7648733,Mazabuka,Lochinvar National Park,1105,WGS84,1158,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,bicolor,,Senna bicolor,Species,L.B. Sm. & Read
UNZA:167317,University of Zambia,Merrett L; Merrett M,1,1992,4,26,Zambia,ZM,Southern,-15.68014,27.7954216,Mazabuka,South of Kafue River Bridge,1105,WGS84,1158,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,stipulata,,Brachystegia stipulata,Species,Benth.
UNZA:167318,University of Zambia,Merrett L; Merrett M,1,1992,4,26,Zambia,ZM,Southern,-15.6897503,27.7562646,Mazabuka,South of Kafue River Bridge,1105,WGS84,1158,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,stipulata,,Brachystegia stipulata,Species,Benth.
UNZA:167377,University of Zambia,Lackson N,1,2008,4,27,Zambia,ZM,Southern,-15.4459086,25.6071467,District of Namwala,Kabulamwanda,1198,WGS84,2066,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,fendleri,,Tessmannia fendleri,Species,Griseb.
UNZA:167378,University of Zambia,Lackson N,1,2008,4,27,Zambia,ZM,Southern,-15.4543448,25.6237693,District of Namwala,Kabulamwanda,1198,WGS84,2066,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,fendleri,,Tessmannia fendleri,Species,Griseb.
UNZA:167380,University of Zambia,Lackson N,1,2008,4,27,Zambia,ZM,Southern,-15.4878588,25.4307913,District of Namwala,M11 to Choma,1198,WGS84,2066,Bruce-Miller I,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,variabilis,,Tessmannia variabilis,Species,Schltdl.
UNZA:167382,University of Zambia,Lackson N,1,2008,4,27,Zambia,ZM,Southern,-15.5124396,25.6279568,District of Namwala,M11 to Choma,1198,WGS84,2066,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,recurvata,,Tessmannia recurvata,Species,(L.) L.
UNZA:167466,University of Zambia,Manda G,1,2009,3,28,Zambia,ZM,Western,14° 50' S,22° 18' E,Mongu,Kalabo town,1017,WGS84,1016,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,archeri,,Tessmannia archeri,Species,L.B. Sm.
UNZA:167639,University of Zambia,Ngwenyama T,1,1994,11,24,Zambia,ZM,Southern,-17.5036894,25.2517585,Livingstone,Zambezi River Island,916,WGS84,3729,Bingham M,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Eragrostis,hymenachne,,Eragrostis hymenachne,Species,Mart.
UNZA:167671,University of Zambia,Bruce-Miller I,1,2003,12,20,Zambia,ZM,Southern,-15.4068536,27.7857269,Mazabuka,East of Lochinvar NP,1105,WGS84,3619,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:167672,University of Zambia,Bruce-Miller I,1,2003,12,20,Zambia,ZM,Southern,-15.407723,27.7788009,Mazabuka,Mazabuka Boma,1105,WGS84,3619,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:167673,University of Zambia,Bruce-Miller I,1,2003,12,20,Zambia,ZM,Southern,-15.4491109,27.7781666,Mazabuka,East of Lochinvar NP,1105,WGS84,3619,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:167674,University of Zambia,Colebrook-Robjent J,1,2003,12,21,Zambia,ZM,Southern,-17.373889,25.318494,Livingstone,Zambezi Boat Club,908,WGS84,994,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,lehmannii,,Senna lehmannii,Species,Baker
UNZA:167675,University of Zambia,Colebrook-Robjent J,1,2003,12,21,Zambia,ZM,Southern,-17.3786408,25.7856679,Livingstone,Zambezi Boat Club,908,WGS84,994,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,lehmannii,,Senna lehmannii,Species,Baker
UNZA:167676,University of Zambia,Colebrook-Robjent J,1,2003,12,21,Zambia,ZM,Southern,-17.3909348,25.4900819,Livingstone,Zambezi Boat Club,908,WGS84,994,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,lehmannii,,Senna lehmannii,Species,Baker
UNZA:167677,University of Zambia,Bruce-Miller I,1,2003,12,19,Zambia,ZM,Southern,-15.3098632,27.7846692,Mazabuka,Lochinvar National Park,1105,WGS84,3619,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:167678,University of Zambia,Bruce-Miller I,1,2003,12,19,Zambia,ZM,Southern,-15.3187987,27.58103,Mazabuka,Lochinvar National Park,1105,WGS84,3619,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:167680,University of Zambia,Bruce-Miller I,1,2003,12,19,Zambia,ZM,Southern,-15.3199281,27.8991331,Mazabuka,Lochinvar NP,1105,WGS84,3619,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,arcuata,,Senna arcuata,Species,(André) André
UNZA:167681,University of Zambia,Bruce-Miller I,1,2003,12,19,Zambia,ZM,Southern,-15.3537949,27.8525556,Mazabuka,Lochinvar NP,1105,WGS84,3619,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,arcuata,,Senna arcuata,Species,(André) André
UNZA:167682,University of Zambia,Bruce-Miller I,1,2003,12,19,Zambia,ZM,Southern,-15.3857972,27.8026203,Mazabuka,Lochinvar NP,1105,WGS84,3619,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,arcuata,,Senna arcuata,Species,(André) André
UNZA:167782,University of Zambia,Manda G,1,2008,7,28,Zambia,ZM,Western,"16° 20' 3.120"" S","22° 36' 18.650"" E",Sioma,Kavumba Camp,1070,WGS84,989,Bingham M,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Cymbopogon,sessiliflora,,Cymbopogon sessiliflora,Species,(Ruiz & Pav.) Mez
UNZA:167808,University of Zambia,Colebrook-Robjent J,1,2003,12,21,Zambia,ZM,Southern,-17.4072073,25.0487179,Livingstone,"Zambezi River bank, 15 km above the falls",908,WGS84,994,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,brongniartiana,,Senna brongniartiana,Species,André
UNZA:167878,University of Zambia,Colebrook-Robjent J,1,2004,3,27,Zambia,ZM,Southern,-17.857357,25.8333603,Livingstone,Bob's Birding Safari Lodge,908,WGS84,1090,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,juncea,,Tessmannia juncea,Species,(Ruiz & Pav.) Poir.
UNZA:167893,University of Zambia,Colebrook-Robjent J,1,2004,3,27,Zambia,ZM,Southern,-17.8491547,25.5991416,Livingstone,Turaco Farm,908,WGS84,1090,Peter Lungu,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,myriantha,,Tessmannia myriantha,Species,Baker
UNZA:168038,University of Zambia,Phiri S,1,2005,2,25,Zambia,ZM,Southern,-16.6878,27.6816,Gwembe,Road south of Gwembe boma,954,WGS84,628,Peter Lungu,,Plants,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,longifolia,,Brachystegia longifolia,Species,Baker
UNZA:168146,University of Zambia,Mwansa P,1,2009,1,30,Zambia,ZM,Southern,-15.7216042,27.062868,Mazabuka,Kafue River Cruises,1105,WGS84,1530,Merrett L; Merrett M,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Cymbopogon,sessiliflora,,Cymbopogon sessiliflora,Species,(Ruiz & Pav.) Mez
UNZA:168171,University of Zambia,Mwanawasa L,1,2009,5,24,Zambia ,ZM,Southern,-15.2144686,25.2224344,Namwala,"Itezhi tezhi, below dam wall",1209,WGS84,1788,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,formosa,,Senna formosa,Species,L.B. Sm. & Betancur
UNZA:168242,University of Zambia,Lungu P,1,2003,11,3,Zambia,ZM,Southern,-17.2163016,26.5768,Distr. Kalomo,5 km north of Kalomo Boma,1499,WGS84,956,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Cassia,heterandra,,Cassia heterandra,Species,(André) L.B. Sm.
UNZA:168243,University of Zambia,Lungu P,1,2003,11,3,Zambia,ZM,Southern,-17.2498352,26.3719,Distr. Kalomo,5 km north of Kalomo Boma,1499,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia  spiciformis,Species,Benth.
UNZA:168244,University of Zambia,Lungu P,1,2003,11,3,Zambia,ZM,Southern,-17.2687234,26.4401,Distr. Kalomo,5 km north of Kalomo Boma,1499,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia  spiciformis,Species,Benth.
UNZA:168245,University of Zambia,Colebrook-Robjent J,1,2003,11,3,Zambia,ZM,Southern,-17.2856788,26.4331,Distr. Kalomo,5 km north of Kalomo Boma,1499,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,fendleri,,Tessmannia fendleri,Species,Griseb.
UNZA:168246,University of Zambia,Colebrook-Robjent J,1,2003,11,3,Zambia,ZM,Southern,-17.2742442,26.61022,Distr. Kalomo,5 km north of Kalomo Boma,1499,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:168254,University of Zambia,Colebrook-Robjent J,1,2003,11,3,Zambia,ZM,Southern,-17.3031449,26.3734,Distr. Kalomo,5 km north of Kalomo Boma,1499,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Daniellia,spiculosa,,Daniellia spiculosa,Species,(Griseb.) M.A. Spencer & L.B. Sm.
UNZA:168256,University of Zambia,Colebrook-Robjent J,1,2003,11,3,Zambia,ZM,Southern,-17.3607576,26.7366,Distr. Kalomo,5 km north of Kalomo Boma,1499,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,maidifolia,,Senna maidifolia,Species,(C. Morren) Decne. ex Planch.
UNZA:168257,University of Zambia,Colebrook-Robjent J,1,2003,11,3,Zambia,ZM,Southern,-17.3892055,26.7275,Distr. Kalomo,Garden Farm,1499,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,maidifolia,,Senna maidifolia,Species,(C. Morren) Decne. ex Planch.
UNZA:168258,University of Zambia,Colebrook-Robjent J,1,2003,11,3,Zambia,ZM,Southern,-17.4164849,26.5979938,Distr. Kalomo,Garden Farm,1499,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,maidifolia,,Senna maidifolia,Species,(C. Morren) Decne. ex Planch.
UNZA:168259,University of Zambia,Colebrook-Robjent J,1,2003,11,4,Zambia,ZM,Southern,"17° 29' 16"" S","26° 25' 50"" E ",Kalomo,Lionkop Ranch,,WGS84,2091,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:168285,University of Zambia,Colebrook-Robjent J,1,2003,11,3,Zambia,ZM,Southern,-17.4543448,26.6237693,District of Kalomo,Lionkop Ranch,1422,WGS84,956,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,complanata,,Tessmannia complanata,Species,Benth.
UNZA:168299,University of Zambia,Colebrook-Robjent John,1,2003,3,14,Zambia,ZM,Southern,-17.2065912,25.0783725,Livingstone,Mosi-oa-Tunya Reserve,916,WGS84,2573,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,angolensis ,,Isoberlinia angolensis ,Species,(Benth.) Hoyle & Brenan
UNZA:168323,University of Zambia,Colebrook-Robjent J,1,2003,3,19,Zambia,ZM,Southern,-15.5228808,25.3094777,Namwala,"Game Management Area, Kafue East",1300,WGS84,3577,Bingham M,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Diheteropogon,caulescens,,Diheteropogon caulescens,Species,Mart. ex Schult. f.
UNZA:168354,University of Zambia,Bellcross G,1,2003,4,7,Zambia,ZM,Southern,-15.7377316,27.875719,Mazabuka,Kafue River Cruises,1105,WGS84,2832,Mukampola R,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:168355,University of Zambia,Bellcross G,1,2003,4,7,Zambia,ZM,Southern,-15.7468511,27.9212555,Mazabuka,Lochinvar National Park,1105,WGS84,2832,Mukampola R,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:168393,University of Zambia,Colebrook-Robjent J,1,2002,1,27,Zambia,ZM,Southern,-17.4639024,25.2841853,Livingstone Distr.,25 km along Livingstone-Kalomo Road,988,WGS84,573,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Colophospermum,,,Colophospermum ,Genus,
UNZA:168429,University of Zambia,Merrett L; Merrett M,1,1980,11,15,Zambia ,ZM,Southern,-15.2260901,25.3782295,Namwala,Iteshi teshi boma ,1164,WGS84,1200,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,basincurva,,Senna basincurva,Species,L.B. Sm. & Betancur
UNZA:168430,University of Zambia,Merrett L; Merrett M,1,1980,11,15,Zambia ,ZM,Southern,-15.2362024,25.813257,Namwala,Iteshi teshi boma ,1164,WGS84,1200,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Senna,basincurva,,Senna basincurva,Species,L.B. Sm. & Betancur
UNZA:168493,University of Zambia,Colebrook-Robjent J,1,2002,1,27,Zambia,ZM,Southern,-17.4306479,25.1144083,Livingstone Distr.,St. Mary's Secondary School,988,WGS84,573,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Eragrostis,santosii,,Eragrostis santosii,Species,Cuatrec.
UNZA:168494,University of Zambia,Colebrook-Robjent J,1,2002,1,27,Zambia,ZM,Southern,-17.4434462,25.9344213,Livingstone Distr.,Simonga,988,WGS84,573,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Eragrostis,santosii,,Eragrostis santosii,Species,Cuatrec.
UNZA:168633,University of Zambia,Colebrook-Robjent John,1,2003,9,30,Zambia,ZM,Southern,-17.4666948,25.9835948,Livingstone Distr.,25 km along Livingstone-Kalomo Road,988,WGS84,644,Franks B,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,confinis,,Tessmannia confinis,Species,L.B. Sm.
UNZA:168641,University of Zambia,Mwanawasa L,1,2007,9,17,Zambia,ZM,Southern,-15.5327108,27.8173641,Mazabuka,"South of Mazabuka, on Choma Road",1105,WGS84,1908,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Bauhinia,sanguinolenta,,Bauhinia sanguinolenta,Species,(Cogn. & Marchal) J.R. Grant
UNZA:168642,University of Zambia,Mwanawasa L,1,2007,9,17,Zambia,ZM,Southern,-15.5678971,27.8469622,Mazabuka,"South of Mazabuka, on Choma Road",1105,WGS84,1908,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Bauhinia,sanguinolenta,,Bauhinia sanguinolenta,Species,(Cogn. & Marchal) J.R. Grant
UNZA:168661,University of Zambia,Colebrook-Robjent John,1,2003,9,30,Zambia,ZM,Southern,-17.4623564,25.2182218,Livingstone Distr.,Simonga,988,WGS84,644,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Eragrostis,floccosa,,Eragrostis floccosa,Species,(Linden) E. Morren ex Mez
UNZA:168662,University of Zambia,Colebrook-Robjent J,1,2003,9,30,Zambia,ZM,Southern,-17.4639024,25.2841853,Livingstone Distr.,25 km along Livingstone-Kalomo Road,988,WGS84,644,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Eragrostis,floccosa,,Eragrostis floccosa,Species,(Linden) E. Morren ex Mez
UNZA:168690,University of Zambia,Colebrook-Robjent J,1,2003,9,30,Zambia,ZM,Southern,-17.4306479,25.1144083,Livingstone Distr.,St. Mary's Secondary School,988,WGS84,644,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,reversa,,Tessmannia reversa,Species,L.B. Sm.
UNZA:168691,University of Zambia,Colebrook-Robjent J,1,2003,9,30,Zambia,ZM,Southern,-17.4434462,25.9344213,Livingstone Distr.,Simonga,988,WGS84,644,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,reversa,,Tessmannia reversa,Species,L.B. Sm.
UNZA:168719,University of Zambia,Ngwenyama T,1,2005,3,31,Zambia,ZM,Southern,-17.4747725,25.064963,Livingstone,Zambezi River Island,916,WGS84,674,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,microphylla,,Brachystegia microphylla,Species,Harms
UNZA:168720,University of Zambia,Ngwenyama T,1,2012,,,Zambia,ZM,Southern,-17.4863769,25.5676366,Livingstone,Zambezi River Island,916,WGS84,674,Bruce-Miller I,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Brachystegia,microphylla,,Brachystegia microphylla,Species,Harms
UNZA:168838,University of Zambia,Lackson N,1,2015,,,Zambia,ZM,Southern,-17.41648,26.59799,Choma Distr.,Gwembe Safaris,1477,WGS84,3150,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,archeri,,Tessmannia archeri,Species,L.B. Sm.
UNZA:168839,University of Zambia,Lackson N,1,2015,,,Zambia,ZM,Southern,-17.4459,26.60714,Choma,Gwembe Safari,1320,WGS84,3150,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,biflora,,Tessmannia biflora,Species,Ruiz & Pav.
UNZA:169042,University of Zambia,Colebrook-Robjent J,1,2009,3,31,Zambia,ZM,Southern,-15.2255308,26.9144835,Namwala,Shantanda Boma,1164,WGS84,25332,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Isoberlinia,angolensis ,,Isoberlinia angolensis ,Species,(Benth.) Hoyle & Brenan
UNZA:169148,University of Zambia,Lungu P,1,2009,3,20,Zambia,ZM,Southern,-17.24983,27.3719,District of Choma,NRCA,1317,WGS84,2256,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Diheteropogon,fontoides,,Diheteropogon fontoides,Species,L.B. Sm.
UNZA:169149,University of Zambia,Lungu P,1,2009,3,20,Zambia,ZM,Southern,-17.26872,27.44013,Choma,Nkanga Riv. Cons. Area,132,WGS84,2256,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Diheteropogon,heliophila,,Diheteropogon heliophila,Species,L.B. Sm.
UNZA:169151,University of Zambia,Merrett L; Merrett M,1,2009,3,21,Zambia,ZM,Southern,-15.185997,25.9144835,Namwala,10 km east of Namwala town,1164,WGS84,5290,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,adpressiflora,,Tessmannia adpressiflora,Species,Mez
UNZA:169272,University of Zambia,Stjernstedt RJ,1,2009,3,19,Zambia,ZM,Western Prov.,"15° 05' 34"" S","23° 38' 27.99"" E",District of Mongu,Lealui,1187,WGS84,2573,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Brachystegia,schliebenii,,Brachystegia schliebenii,Species,André
UNZA:169296,University of Zambia,Lungu P,1,2009,3,20,Zambia,ZM,Southern,-16.27424,26.6102,Choma,Macha Mission,1320,WGS84,2256,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Cassia,schultesiana,,Cassia schultesiana,Species,L.B. Sm.
UNZA:169299,University of Zambia,Lungu P,1,2009,3,21,Zambia,ZM,Southern,-16.6878,27.6816,Gwembe,Road south of Gwembe boma,954,WGS84,5233,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Cassia,chrysostachys,,Cassia chrysostachys,Species,E. Morren
UNZA:169303,University of Zambia,Colebrook-Robjent J,1,2009,3,27,Zambia,ZM,Southern,-15.3435581,25.5738697,Namwala,Iteshi teshi boma ,1164,WGS84,1133,"Merritt L, Merritt M",,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Pterolobium,rubiginosa,,Pterolobium rubiginosa,Species,(Baker) G.S. Varad. & Gilmartin
UNZA:169304,University of Zambia,Colebrook-Robjent J,1,2009,3,31,Zambia,ZM,Southern,-15.185997,25.3307486,Namwala,10 km east of Namwala town,1167,WGS84,25332,Mike Bingham,,Plantae,Magnoliophyta,Equisetopsida,Poales,Poaceae,,Diheteropogon,,,Diheteropogon spp,Genus,
UNZA:169305,University of Zambia,Colebrook-Robjent J,1,2009,3,31,Zambia,ZM,Southern,-15.1981666,25.46802374,Namwala,"Iteshi-teshi gate, KNP",1164,WGS84,25332,Mike Bingham,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Brachystegia,spiciformis,,Brachystegia spiciformis,Species,Benth.
UNZA:169367,University of Zambia,Lungu P,1,2009,3,21,Zambia,ZM,Southern,-16.901,27.947,Gwembe District,"Escarpment road, Malindi",878,WGS84,5233,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Bauhinia,macrantha,,Bauhinia macrantha,Species,Schult. f.
UNZA:169665,University of Zambia,Colebrook-Robjent J,1,2004,9,20,Zambia,ZM,Southern,-15.189691,26.2414457,Namwala Dist,"Ngoma, Kafue National Park",1230,WGS84,2654,Bingham M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,complanata,,Tessmannia complanata,Species,Benth.
UNZA:169723,University of Zambia,Stjernstedt R,1,2004,9,22,Zambia,ZM,Western Prov.,"14° 37' 1.7"" S","22° 39' 6.8"" E",Mongu,Liuwa Plains,1054,WGS84,773,Merrett L; Merrett M,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,,Senna,maidifolia,,Senna maidifolia,Species,(C. Morren) Decne. ex Planch.
UNZA:170757,University of Zambia,Mwansa P,1,2009,11,17,Zambia,ZM,Southern,-15.7644319,27.1554514,Mazabuka,Kafue Flats west of Lochinvar,1105,WGS84,1723,Mukampola R,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinioideae,Tessmannia,flexuosa,,Tessmannia flexuosa,Species,Sw.
